id;rent_date;return_date;customer_id;car_id
1;2021-06-23T09:44:12;2021-06-23T04:49:34;62376;58692
2;2021-06-23T13:30:26;2021-06-23T08:05:29;79736;24918
3;2021-06-23T10:07:22;2021-06-23T11:35:11;83053;65545
4;2021-06-23T00:45:53;2021-06-23T04:15:15;33108;12172
5;2021-06-22T21:55:16;2021-06-23T01:21:32;9282;40299
6;2021-06-23T12:26:56;2021-06-22T22:19:35;81894;97405
7;2021-06-22T23:22:28;2021-06-22T19:15:13;17170;34549
8;2021-06-23T14:46:29;2021-06-23T14:28:34;53671;41199
9;2021-06-23T00:40:37;2021-06-23T01:29:49;10724;82099
10;2021-06-22T15:12:36;2021-06-23T05:18:59;27313;65052
